alpha,cap,global_rmse,well_rmse_mean,well_rmse_median,well_rmse_p90,well_rmse_p95,well_rmse_max,group3_rmse_mean,group3_rmse_p90,group3_rmse_p95,group3_rmse_p99,group3_rmse_max
0.8,50.0,60.43207461186122,34.63683553325629,17.820234228945125,86.29771577163758,137.1470963308504,183.53733876666064,45.40104008609432,97.05742852221321,117.2536495698329,138.80491149887067,163.67359503029147
0.75,50.0,60.44106808724206,34.696288694542545,18.228257005705807,86.25356186751105,137.15700168713823,183.56396456361134,45.424298205492974,97.10117429728616,117.27760626134442,138.85285744916598,163.71030598342898
0.7,50.0,60.487786657063324,34.82511347280666,18.60031834125208,86.2212030087781,137.1798720528891,183.59890196600017,45.514301415894856,97.1269610382564,117.31947020005069,138.9249822091721,163.75872959165426
0.6,50.0,60.736258566666855,35.32974287136654,20.92813448891771,86.31121836704973,137.26965770162658,183.7117506046695,45.956458097493964,97.28722302462107,117.47979113128922,139.03852883135187,163.91861285021574
0.5,50.0,61.294398935539306,36.28077560916565,22.098616515776882,86.73287330371501,137.46087785856892,183.9265120778993,46.888387936195286,97.70837006664641,117.8628664267804,139.21812490855666,164.21955352412434
0.4,50.0,62.340593269947746,37.74377947743997,23.06854068836888,87.72067080010297,137.89355750932737,184.3738772797478,48.45002393831583,98.61650278970656,118.24062904569867,139.5593106381518,164.79595050662422
0.3,50.0,64.21974874517981,39.84302860712167,24.085479501190495,90.08863925684415,138.95235753945408,185.4354659512505,50.86763061505616,100.3891220389296,119.50305331010156,141.04346476540502,166.10706848223103
0.2,none,66.51261424602242,42.47672843385893,26.888636551054113,96.81149782746154,139.75729285179145,180.01997784160574,53.96460000878682,103.55377416891922,119.96538535972542,138.83239531854377,163.83848092003575
0.2,100.0,66.51261424602242,42.47672843385893,26.888636551054113,96.81149782746154,139.75729285179145,180.01997784160574,53.96460000878682,103.55377416891922,119.96538535972542,138.83239531854377,163.83848092003575
0.2,75.0,66.52028089332158,42.47828162031263,26.888636551054113,96.81149782746154,139.75729285179145,180.14534888940923,53.96743704351937,103.55377416891922,119.96538535972542,138.91762160820866,163.89664692656356
0.25,50.0,65.68000547630676,41.19596898533668,25.175796006766486,92.65239515472598,140.36130594459996,186.46638015055217,52.50800234618274,102.15016693952133,120.93481098308693,142.45336528994014,167.47435781155002
0.2,50.0,67.67201291103862,42.78090669113821,26.888636551054113,97.02117345847213,143.2221384450915,188.3598184831689,54.51102499663696,104.6927663949094,123.21121182960798,144.56187057783924,169.99765520886604
1.0,40.0,64.30161569075445,37.391971372120835,18.4258072681824,93.99194093592642,145.0343373498862,191.7477199136971,48.897691489111224,102.87048201080125,123.41966430553178,145.4649529780141,171.58806334016307
0.9,40.0,64.25176988207,37.25010418273607,19.16895622215762,93.93351968277581,145.03145737499023,191.75307058423093,48.77889164423945,102.84061492480843,123.4507281405991,145.47308599097462,171.6010866726505
0.8,40.0,64.23403905361664,37.21030603941389,19.93277454843498,93.87470896933765,145.03493717983068,191.76760870299574,48.72940657218264,102.81059311072875,123.45374570543295,145.49451684222163,171.62588362829595
0.75,40.0,64.23700978486447,37.22730618398007,20.321708872421734,93.84590519778577,145.0401830790529,191.7803818590991,48.730862924602896,102.82197568173883,123.47958741274162,145.51331767392585,171.64519785324717
0.7,40.0,64.24356192367932,37.26496609054796,20.71497596280114,93.81978088252653,145.04851754437323,191.7984215844752,48.74517211119372,102.76710512618789,123.500347730333,145.53948246373707,171.6709496056642
0.6,40.0,64.34667529316974,37.50822874739729,22.05983347920539,93.7894464649653,145.083668203106,191.85669211617716,48.937830940127434,102.85851644627684,123.50221221833539,145.64264234088282,171.74948851647844
0.5,40.0,64.64514098612119,38.06100095008775,22.370451110259353,93.83808599003198,145.18635430782908,191.96598345223444,49.455338274528415,103.06219637241077,123.58390361133561,145.75342429656635,171.89878316010234
0.4,40.0,65.28909798948467,39.089802432221205,23.06854068836888,94.27012928560568,145.4035722737783,192.19273911126487,50.4989782489577,103.60082322578444,123.99170287632766,145.93131039907254,172.21137402374748
0.3,40.0,66.54234490331379,40.72701082570782,24.085479501190495,95.49008535719736,145.85457034551249,192.7389176946366,52.29517553665072,104.68296483700021,124.67578561915367,146.56226433010323,172.8965154892028
0.25,40.0,67.5539554425208,41.83398010270154,25.175796006766486,96.75938582004868,146.42863251961558,193.31238803858528,53.57926388093729,105.62611151736233,125.28892611583287,147.37848462377391,173.59693119879205
0.2,40.0,69.00196979106742,43.189067635974155,26.888636551054113,99.20842387717899,147.79218881557517,194.31742987842864,55.21931085842496,107.16011058814775,126.63339181662448,148.69374259156757,174.91405393355174
0.9,30.0,68.26645266593287,40.16177151920036,20.842303239987206,101.66115826586181,153.0727110283235,200.1331990139038,52.39283537044055,108.4963854448776,129.6623695217382,152.49348020100066,179.7255151215924
0.8,30.0,68.24767191747098,40.070770946526245,20.27955890059585,101.63431621108026,153.07392597689775,200.13550121461566,52.33564671695948,108.50888278067985,129.66268407660198,152.4607149443259,179.7332362312334
